Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.0550016666666671
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.03294428571428551
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.07882916666666566
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.0947849999999989
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.1572008333333326
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.03036666666666716
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.02938838235294003
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.014658749999999688
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.2816833333333387
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.05024283854166839
PCE_LINEAR,0.02648835090329731
PCE_EXPONENTIAL,0.043710979186746934
